MeasurementDateGMT,PM10_p90,PM10_p95,PM25_p90,PM25_p95,NO2_p90,NO2_p95,O3_p90,O3_p95
2025-07-19,8.280000000000001,8.93,5.58,5.69,23.169999999999998,27.06999999999999,66.84,74.29499999999997
2025-07-20,8.02,8.455,4.5,4.67,12.41,12.969999999999999,76.6,80.69
2025-07-21,7.37,7.824999999999999,3.17,4.389999999999997,24.83,29.13999999999999,71.67,74.38999999999999
2025-07-22,7.67,8.464999999999998,3.04,3.185,20.58,21.125,59.1,61.64999999999999
2025-07-23,26.48,26.939999999999998,20.08,20.625,19.58,20.974999999999994,57.18,58.14999999999999
2025-07-24,16.22,16.57,11.34,11.569999999999999,21.62,22.139999999999997,47.26,47.839999999999996
2025-07-25,18.3,18.65,11.95,12.1,24.3,29.05,87.5,89.05
