country,region,sub_region,locality_level_1,locality_level_2,locality_level_3,nombre_oficial,geoname_id,iso_3166_2,fcode,poblacion,lat,lon,fuente_oficial
united_kingdom,england,buckinghamshire,aylesbury_vale,grendon_underwood,,Grendon Underwood,7292873,ENG,ADM4,0,51.88258,-1.00268,http://www.geonames.org/7292873
united_kingdom,england,buckinghamshire,aylesbury_vale,grendon_underwood,grendon_underwood,Grendon Underwood,2647922,ENG,PPL,637,51.88322,-1.01692,http://www.geonames.org/2647922
united_kingdom,england,buckinghamshire,aylesbury_vale,grendon_underwood,greatmoor,Greatmoor,13284247,ENG,PPLL,0,51.89476,-0.9777,http://www.geonames.org/13284247
united_kingdom,england,buckinghamshire,aylesbury_vale,grendon_underwood,edgcott,Edgcott,2650235,ENG,PPL,988,51.8917,-1.0096,http://www.geonames.org/2650235
united_kingdom,england,buckinghamshire,aylesbury_vale,little_horwood,,Little Horwood,7292877,ENG,ADM4,0,51.9684,-0.84499,http://www.geonames.org/7292877
united_kingdom,england,buckinghamshire,aylesbury_vale,little_horwood,little_horwood,Little Horwood,2644308,ENG,PPL,0,51.96865,-0.84912,http://www.geonames.org/2644308
united_kingdom,england,buckinghamshire,aylesbury_vale,wotton_underwood,,Wotton Underwood,7294240,ENG,ADM4,0,51.84065,-0.99814,http://www.geonames.org/7294240
united_kingdom,england,buckinghamshire,aylesbury_vale,wotton_underwood,wotton_underwood,Wotton Underwood,2633510,ENG,PPL,0,51.83822,-1.00293,http://www.geonames.org/2633510
united_kingdom,england,buckinghamshire,aylesbury_vale,dinton_with_ford_and_upton,,Dinton-with-Ford and Upton,7299777,ENG,ADM4,0,51.78351,-0.86962,http://www.geonames.org/7299777
united_kingdom,england,buckinghamshire,aylesbury_vale,dinton_with_ford_and_upton,upton,Upton,12262750,ENG,PPL,0,51.79596,-0.8816,http://www.geonames.org/12262750
united_kingdom,england,buckinghamshire,aylesbury_vale,dinton_with_ford_and_upton,dinton,Dinton,2651235,ENG,PPL,253,51.78982,-0.89401,http://www.geonames.org/2651235
united_kingdom,england,buckinghamshire,aylesbury_vale,dinton_with_ford_and_upton,ford,Ford,12261743,ENG,PPL,0,51.77758,-0.87407,http://www.geonames.org/12261743
united_kingdom,england,buckinghamshire,aylesbury_vale,dinton_with_ford_and_upton,gibraltar,Gibraltar,13275666,ENG,PPL,0,51.79161,-0.90185,http://www.geonames.org/13275666
united_kingdom,england,buckinghamshire,aylesbury_vale,wing,,Wing,7292883,ENG,ADM4,0,51.89755,-0.73059,http://www.geonames.org/7292883
united_kingdom,england,buckinghamshire,aylesbury_vale,wing,ascott,Ascott,13275515,ENG,PPL,0,51.90121,-0.70242,http://www.geonames.org/13275515
united_kingdom,england,buckinghamshire,aylesbury_vale,wing,wing,Wing,2633830,ENG,PPL,2589,51.89524,-0.71956,http://www.geonames.org/2633830
united_kingdom,england,buckinghamshire,aylesbury_vale,wing,lower_ascott,Lower Ascott,13282864,ENG,PPLL,0,51.89543,-0.70788,http://www.geonames.org/13282864
united_kingdom,england,buckinghamshire,aylesbury_vale,wing,burcott,Burcott,12262616,ENG,PPL,0,51.90545,-0.72283,http://www.geonames.org/12262616
united_kingdom,england,buckinghamshire,aylesbury_vale,quainton,,Quainton,7299789,ENG,ADM4,0,51.87881,-0.93722,http://www.geonames.org/7299789
united_kingdom,england,buckinghamshire,aylesbury_vale,quainton,quainton,Quainton,2639814,ENG,PPL,913,51.87408,-0.91727,http://www.geonames.org/2639814
united_kingdom,england,buckinghamshire,aylesbury_vale,quainton,shipton_lee,Shipton Lee,13274908,ENG,PPL,0,51.88326,-0.93848,http://www.geonames.org/13274908
united_kingdom,england,buckinghamshire,aylesbury_vale,worminghall,,Worminghall,7292884,ENG,ADM4,0,51.77593,-1.06987,http://www.geonames.org/7292884
united_kingdom,england,buckinghamshire,aylesbury_vale,worminghall,worminghall,Worminghall,2633540,ENG,PPL,534,51.77043,-1.07365,http://www.geonames.org/2633540
united_kingdom,england,buckinghamshire,aylesbury_vale,stowe,,Stowe,7298718,ENG,ADM4,0,52.03703,-1.01747,http://www.geonames.org/7298718
united_kingdom,england,buckinghamshire,aylesbury_vale,stowe,dadford,Dadford,12262624,ENG,PPL,0,52.03895,-1.02946,http://www.geonames.org/12262624
united_kingdom,england,buckinghamshire,aylesbury_vale,stowe,stowe,Stowe,7287954,ENG,PPL,0,52.03127,-1.01815,http://www.geonames.org/7287954
united_kingdom,england,buckinghamshire,aylesbury_vale,turweston,,Turweston,7294237,ENG,ADM4,0,52.03175,-1.11495,http://www.geonames.org/7294237
united_kingdom,england,buckinghamshire,aylesbury_vale,turweston,turweston,Turweston,12262466,ENG,PPL,0,52.03475,-1.1246,http://www.geonames.org/12262466
united_kingdom,england,buckinghamshire,aylesbury_vale,mentmore,,Mentmore,7296369,ENG,ADM4,0,51.87242,-0.6967,http://www.geonames.org/7296369
united_kingdom,england,buckinghamshire,aylesbury_vale,mentmore,crafton,Crafton,13274865,ENG,PPL,0,51.86941,-0.70666,http://www.geonames.org/13274865
united_kingdom,england,buckinghamshire,aylesbury_vale,mentmore,mentmore,Mentmore,2642740,ENG,PPL,0,51.86897,-0.68485,http://www.geonames.org/2642740
united_kingdom,england,buckinghamshire,aylesbury_vale,mentmore,ledburn,Ledburn,12262596,ENG,PPL,0,51.88902,-0.68653,http://www.geonames.org/12262596
united_kingdom,england,buckinghamshire,aylesbury_vale,lillingstone_lovell,,Lillingstone Lovell,7292876,ENG,ADM4,0,52.06447,-0.96085,http://www.geonames.org/7292876
united_kingdom,england,buckinghamshire,aylesbury_vale,lillingstone_lovell,lillingstone_dayrell,Lillingstone Dayrell,2644506,ENG,PPL,0,52.05808,-0.96049,http://www.geonames.org/2644506
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_sandford,,Aston Sandford,7297919,ENG,ADM4,0,51.7589,-0.89029,http://www.geonames.org/7297919
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_sandford,aston_sandford,Aston Sandford,13275230,ENG,PPL,0,51.76384,-0.90447,http://www.geonames.org/13275230
united_kingdom,england,buckinghamshire,aylesbury_vale,north_marston,,North Marston,7290778,ENG,ADM4,0,51.89659,-0.87923,http://www.geonames.org/7290778
united_kingdom,england,buckinghamshire,aylesbury_vale,north_marston,north_marston,North Marston,2641308,ENG,PPL,781,51.89901,-0.87702,http://www.geonames.org/2641308
united_kingdom,england,buckinghamshire,aylesbury_vale,chetwode,,Chetwode,7298700,ENG,ADM4,0,51.95951,-1.06619,http://www.geonames.org/7298700
united_kingdom,england,buckinghamshire,aylesbury_vale,chetwode,chetwode,Chetwode,2653208,ENG,PPL,0,51.96237,-1.06998,http://www.geonames.org/2653208
united_kingdom,england,buckinghamshire,aylesbury_vale,marsworth,,Marsworth,7296368,ENG,ADM4,0,51.82829,-0.66545,http://www.geonames.org/7296368
united_kingdom,england,buckinghamshire,aylesbury_vale,marsworth,cooks_wharf,Cooks Wharf,13282414,ENG,PPL,0,51.83532,-0.65536,http://www.geonames.org/13282414
united_kingdom,england,buckinghamshire,aylesbury_vale,marsworth,marsworth,Marsworth,2642961,ENG,PPL,741,51.82246,-0.66613,http://www.geonames.org/2642961
united_kingdom,england,buckinghamshire,aylesbury_vale,maids_moreton,,Maids Moreton,7299785,ENG,ADM4,0,52.01448,-0.96685,http://www.geonames.org/7299785
united_kingdom,england,buckinghamshire,aylesbury_vale,maids_moreton,maids_moreton,Maids Moreton,2643180,ENG,PPL,0,52.01701,-0.97778,http://www.geonames.org/2643180
united_kingdom,england,buckinghamshire,aylesbury_vale,stoke_mandeville,,Stoke Mandeville,7298716,ENG,ADM4,0,51.78631,-0.79514,http://www.geonames.org/7298716
united_kingdom,england,buckinghamshire,aylesbury_vale,stoke_mandeville,stoke_mandeville,Stoke Mandeville,2636845,ENG,PPL,0,51.78606,-0.79157,http://www.geonames.org/2636845
united_kingdom,england,buckinghamshire,aylesbury_vale,whaddon,,Whaddon,7299791,ENG,ADM4,0,51.99785,-0.82868,http://www.geonames.org/7299791
united_kingdom,england,buckinghamshire,aylesbury_vale,whaddon,whaddon,Whaddon,2634200,ENG,PPL,533,52.00042,-0.82801,http://www.geonames.org/2634200
united_kingdom,england,buckinghamshire,aylesbury_vale,wendover,,Wendover,7297920,ENG,ADM4,0,51.74958,-0.73219,http://www.geonames.org/7297920
united_kingdom,england,buckinghamshire,aylesbury_vale,wendover,wendover_dean,Wendover Dean,13275141,ENG,PPL,0,51.73452,-0.73613,http://www.geonames.org/13275141
united_kingdom,england,buckinghamshire,aylesbury_vale,wendover,wendover,Wendover,2634538,ENG,PPL,7702,51.76194,-0.73986,http://www.geonames.org/2634538
united_kingdom,england,buckinghamshire,aylesbury_vale,wendover,halton_camp,Halton Camp,11071846,ENG,PPL,0,51.76821,-0.7296,http://www.geonames.org/11071846
united_kingdom,england,buckinghamshire,aylesbury_vale,wendover,worlds_end,World's End,11071845,ENG,PPL,0,51.77506,-0.75458,http://www.geonames.org/11071845
united_kingdom,england,buckinghamshire,aylesbury_vale,fleet_marston,,Fleet Marston,7299780,ENG,ADM4,0,51.83657,-0.87439,http://www.geonames.org/7299780
united_kingdom,england,buckinghamshire,aylesbury_vale,fleet_marston,fleet_marston,Fleet Marston,13274907,ENG,PPL,0,51.84117,-0.87691,http://www.geonames.org/13274907
united_kingdom,england,buckinghamshire,aylesbury_vale,weedon,,Weedon,7299790,ENG,ADM4,0,51.848,-0.8144,http://www.geonames.org/7299790
united_kingdom,england,buckinghamshire,aylesbury_vale,weedon,weedon,Weedon,2634614,ENG,PPL,275,51.85603,-0.81951,http://www.geonames.org/2634614
united_kingdom,england,buckinghamshire,aylesbury_vale,radclive_cum_chackmore,,Radclive-cum-Chackmore,7296371,ENG,ADM4,0,52.00853,-1.01251,http://www.geonames.org/7296371
united_kingdom,england,buckinghamshire,aylesbury_vale,radclive_cum_chackmore,bufflers_holt,Buffler's Holt,13275534,ENG,PPL,0,52.0116,-1.02754,http://www.geonames.org/13275534
united_kingdom,england,buckinghamshire,aylesbury_vale,radclive_cum_chackmore,chackmore,Chackmore,12262660,ENG,PPL,0,52.01643,-1.00237,http://www.geonames.org/12262660
united_kingdom,england,buckinghamshire,aylesbury_vale,radclive_cum_chackmore,radclive,Radclive,12262659,ENG,PPL,0,52.00099,-1.01649,http://www.geonames.org/12262659
united_kingdom,england,buckinghamshire,aylesbury_vale,dunton,,Dunton,7296359,ENG,ADM4,0,51.91347,-0.81274,http://www.geonames.org/7296359
united_kingdom,england,buckinghamshire,aylesbury_vale,dunton,littlecote,Littlecote,10377173,ENG,PPL,0,51.91346,-0.79694,http://www.geonames.org/10377173
united_kingdom,england,buckinghamshire,aylesbury_vale,dunton,dunton,Dunton,10377172,ENG,PPL,0,51.91087,-0.80689,http://www.geonames.org/10377172
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_clinton,,Aston Clinton,7292866,ENG,ADM4,0,51.79672,-0.72164,http://www.geonames.org/7292866
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_clinton,aston_clinton,Aston Clinton,2656864,ENG,PPL,4216,51.8002,-0.7254,http://www.geonames.org/2656864
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_clinton,buckland,Buckland,2654405,ENG,PPL,0,51.80596,-0.72287,http://www.geonames.org/2654405
united_kingdom,england,buckinghamshire,aylesbury_vale,aston_clinton,chivery,Chivery,11071847,ENG,PPL,0,51.76792,-0.69716,http://www.geonames.org/11071847
united_kingdom,england,buckinghamshire,aylesbury_vale,shabbington,,Shabbington,7292880,ENG,ADM4,0,51.76193,-1.03089,http://www.geonames.org/7292880
united_kingdom,england,buckinghamshire,aylesbury_vale,shabbington,shabbington,Shabbington,2638162,ENG,PPL,486,51.7568,-1.03623,http://www.geonames.org/2638162
united_kingdom,england,buckinghamshire,aylesbury_vale,pitstone,,Pitstone,7299787,ENG,ADM4,0,51.82567,-0.61615,http://www.geonames.org/7299787
united_kingdom,england,buckinghamshire,aylesbury_vale,pitstone,pitstone,Pitstone,2640244,ENG,PPL,3674,51.8283,-0.63987,http://www.geonames.org/2640244
united_kingdom,england,buckinghamshire,aylesbury_vale,beachampton,,Beachampton,7298696,ENG,ADM4,0,52.02509,-0.86976,http://www.geonames.org/7298696
united_kingdom,england,buckinghamshire,aylesbury_vale,beachampton,beachampton,Beachampton,2656126,ENG,PPL,0,52.02419,-0.87479,http://www.geonames.org/2656126
united_kingdom,england,buckinghamshire,aylesbury_vale,aylesbury,,Aylesbury,7292893,ENG,ADM4,0,51.81371,-0.81669,http://www.geonames.org/7292893
united_kingdom,england,buckinghamshire,aylesbury_vale,aylesbury,walton,Walton,11550847,ENG,PPL,0,51.8114,-0.79617,http://www.geonames.org/11550847
united_kingdom,england,buckinghamshire,aylesbury_vale,pitchcott,,Pitchcott,7298923,ENG,ADM4,0,51.87089,-0.87226,http://www.geonames.org/7298923
united_kingdom,england,buckinghamshire,aylesbury_vale,pitchcott,pitchcott,Pitchcott,13275231,ENG,PPL,0,51.87586,-0.87471,http://www.geonames.org/13275231
united_kingdom,england,buckinghamshire,aylesbury_vale,westbury,,Westbury,7294239,ENG,ADM4,0,52.02032,-1.09356,http://www.geonames.org/7294239
united_kingdom,england,buckinghamshire,aylesbury_vale,westbury,westbury,Westbury,2634482,ENG,PPL,0,52.01695,-1.09314,http://www.geonames.org/2634482
united_kingdom,england,buckinghamshire,aylesbury_vale,padbury,,Padbury,7296408,ENG,ADM4,0,51.96984,-0.95378,http://www.geonames.org/7296408
united_kingdom,england,buckinghamshire,aylesbury_vale,padbury,padbury,Padbury,2640693,ENG,PPL,810,51.97098,-0.95281,http://www.geonames.org/2640693
united_kingdom,england,buckinghamshire,aylesbury_vale,waddesdon,,Waddesdon,7290779,ENG,ADM4,0,51.83705,-0.9094,http://www.geonames.org/7290779
united_kingdom,england,buckinghamshire,aylesbury_vale,waddesdon,waddesdon,Waddesdon,2634925,ENG,PPL,1797,51.84675,-0.92105,http://www.geonames.org/2634925
united_kingdom,england,buckinghamshire,aylesbury_vale,ivinghoe,,Ivinghoe,7296365,ENG,ADM4,0,51.84229,-0.61597,http://www.geonames.org/7296365
united_kingdom,england,buckinghamshire,aylesbury_vale,ivinghoe,ivinghoe_aston,Ivinghoe Aston,12262386,ENG,PPL,0,51.85385,-0.6182,http://www.geonames.org/12262386
united_kingdom,england,buckinghamshire,aylesbury_vale,ivinghoe,ivinghoe,Ivinghoe,2645989,ENG,PPL,2939,51.83602,-0.62983,http://www.geonames.org/2645989
united_kingdom,england,buckinghamshire,aylesbury_vale,ivinghoe,greatgap,Greatgap,13275667,ENG,PPL,0,51.84258,-0.63831,http://www.geonames.org/13275667
united_kingdom,england,buckinghamshire,aylesbury_vale,dorton,,Dorton,7292870,ENG,ADM4,0,51.81742,-1.0158,http://www.geonames.org/7292870
united_kingdom,england,buckinghamshire,aylesbury_vale,dorton,dorton,Dorton,2651077,ENG,PPL,0,51.8227,-1.01353,http://www.geonames.org/2651077
united_kingdom,england,buckinghamshire,aylesbury_vale,woodham,,Woodham,7298726,ENG,ADM4,0,51.86287,-0.97956,http://www.geonames.org/7298726
united_kingdom,england,buckinghamshire,aylesbury_vale,woodham,ham_green,Ham Green,13282829,ENG,PPLL,0,51.86278,-0.99248,http://www.geonames.org/13282829
united_kingdom,england,buckinghamshire,aylesbury_vale,lillingstone_dayrell_with_luffield_abbey,,Lillingstone Dayrell with Luffield Abbey,7299782,ENG,ADM4,0,52.05883,-1.00116,http://www.geonames.org/7299782
united_kingdom,england,buckinghamshire,aylesbury_vale,tingewick,,Tingewick,7298720,ENG,ADM4,0,51.98534,-1.04642,http://www.geonames.org/7298720
united_kingdom,england,buckinghamshire,aylesbury_vale,tingewick,tingewick,Tingewick,2635796,ENG,PPL,1093,51.99031,-1.04804,http://www.geonames.org/2635796
